,actual,predict0,predict1,predict2,predict3,predict4,predict5,predict6,predict7,predict8,predict9,predict10,predict11,predict12,predict13,predict14,predict15,predict16,predict17,predict18,predict19,predict20,predict21,predict22,predict23,predict24,predict25,predict26,predict27,predict28,predict29,predict30,predict31,predict32,predict33,predict34,predict35,predict36,predict37,predict38,predict39,predict40,predict41,predict42,predict43,predict44,predict45,predict46,predict47,predict48,predict49,predict50,predict51,predict52,predict53,predict54,predict55,predict56,predict57,predict58,predict59,predict60,predict61,predict62,predict63,predict64,predict65,predict66,predict67,predict68,predict69,predict70,predict71,predict72,predict73,predict74,predict75,predict76,predict77,predict78,predict79,predict80,predict81,predict82,predict83,predict84,predict85,predict86,predict87,predict88,predict89,predict90,predict91,predict92,predict93,predict94,predict95,predict96,predict97,predict98,predict99
0,4417.275491621897,4785.9469516122135,4851.667986234233,4960.627505491032,4934.370141587086,4076.8706063600066,4094.593020625362,4082.1923812457344,4250.109360810873,4184.459654180263,4410.8060964826345,4266.383685918464,4151.966431292473,3992.237131974167,4402.4474427220575,4427.5018013709305,5432.190813608713,4289.919278433651,4751.857019544716,4184.8438599806395,4534.244843182458,4542.642513014211,4397.0625258835435,4609.948076478997,4716.661863496346,4706.768631721096,4183.604174528556,4624.814026072668,4235.279906748679,4502.0121393410445,4374.85353285666,4609.582802311254,4647.840224834518,5122.786149649497,4528.077757612333,4837.352055610353,4638.249561319608,4290.682658228379,4191.0081322904325,4585.742773718215,4177.253573771779,4200.881496538129,3785.952889494892,4400.014858948734,4466.842419014847,3947.547710291521,4618.3292297875,4304.694663994543,4207.578990646707,4959.726073021346,4712.302849703885,4553.7963611585055,4673.541534741279,5000.892108038933,3855.920038947234,4400.837902227921,5332.3093963642605,4264.340060212645,4194.140368335102,4303.091415420735,4625.917166838513,4477.347249640536,4051.589055339873,4464.346702065062,4964.987275286856,4384.39728224182,3938.998411426792,3941.680752383076,4638.8558209841885,4682.842009820782,4907.6335521959945,4829.899288099111,4682.866874243236,4188.8805566495585,4068.4445027626,4541.634192011966,4258.721314043504,4210.665587483514,4534.751820716243,4182.569544750909,4764.462261596248,4605.154529005974,4506.455176553471,4941.049912305284,4528.980055865858,4733.251883765654,4905.031693252908,4422.715895824083,4807.407268795553,4659.187427291638,5042.240020695343,3809.9515440819077,4642.343304290965,4418.702514306145,5150.848945347929,5021.437971944682,3510.938192700077,4810.587719235369,4474.761346003056,4471.328378637557,4786.725290334603
1,4349.131076894595,5357.854173568817,4503.835095668225,4346.649884600844,4470.375965364701,4348.074919099379,4085.8134194400654,4873.655667544384,5019.327384697323,4458.7448815778935,4284.326737095817,4893.354227097022,4742.637286372216,4469.654255794479,4663.369284370074,4590.363504848399,4378.441395844698,3907.424855962487,4108.503596156975,4694.573551104605,4305.9488705432395,4229.7248985716715,3785.285201287509,4395.148507711144,4305.500895548178,4120.322615549611,4302.533744878813,4327.2637261177415,4940.092199313752,4825.17354601839,4510.445642542018,4019.629592740357,4500.43524168242,3691.660157862004,4200.428942633917,4667.489349920927,4724.513722549722,4630.991496068341,4441.435078553081,4200.57957577899,4791.354191659994,4342.7451664780265,4386.476160193547,4398.481359892443,4812.67159989567,5512.79516904576,3943.0892131326696,4596.193684787313,4363.158272691955,4357.140584887605,5150.0782320637345,4158.740719905068,4536.774105928836,4602.555569400951,4248.553527371239,4201.880435626004,4111.766922268287,4394.495804518401,4023.1327676232977,4234.925601735999,4041.3258176279933,4922.681317684188,4828.989168788339,4216.19936372105,4782.089749342693,3988.322703808761,5316.382046567873,4591.77852781486,4587.669141621906,4307.57034163989,4169.1153839772205,4042.880489684349,5154.621872520695,4866.915128388166,4174.073897517922,4603.214949406178,4777.9105960005745,5523.45768002583,4494.874791225965,3917.349604243739,4491.114732090528,4620.827984071591,4383.8962216487325,4202.9135298329775,3860.1109051772532,4133.855780446061,4190.1845584329385,4198.314325514784,4429.1531688892965,3750.291343939067,4147.735275860939,4273.521011691079,4178.984350890817,4217.993939325926,4529.1790110308975,4541.252032245627,4766.72689797415,3860.710063990243,4430.1641528256205,5402.820473447948,3751.759025046919
2,4264.602568153675,4896.583939783854,3825.55965456353,4723.297804530608,4636.296515936607,4333.747905687425,4254.7022010259225,4787.045583818915,4491.8637809545735,4268.9142664837345,4424.857594293478,4858.1688001613375,4611.549613109236,3914.1010224768406,3999.6480882597493,4738.799266777295,3982.642571918255,4494.258846069571,4443.416668417271,4160.894715853456,4202.848525611498,4171.804038168898,4555.989881683395,3752.870192301184,4516.509457654189,4603.383749258349,4096.093213895739,4721.445410574721,4549.510619752048,3852.946253014599,4422.12411796488,4178.768941395211,4879.539704016685,4617.52162567535,4429.115421505963,4427.541666529385,4184.616753791914,4149.354145185467,4400.48771670747,4126.16977751738,4031.735640037245,4846.188787241211,4574.852995561464,4452.524804212854,4222.532647553886,4842.442575162414,4517.604857639255,4096.663932037367,4411.484697739665,4700.983265799746,3949.2886885915614,4332.184582227267,4396.157566527599,4560.723631505122,4436.257650952937,4346.1546209394955,3986.079892605197,4422.5168170636625,4059.207900986594,4111.602179338125,4237.765435314248,4524.7801593837075,4745.394550773285,3962.425209967157,4472.6476138582375,4021.6493787257373,4303.9401450241685,4311.109225914219,4716.566230759762,4267.409331273689,4954.604755136859,4729.566529862738,3992.182261334493,4228.429485754983,4032.3523257965217,3832.01310355391,4578.240461200338,4478.028489751624,4698.477077931102,4595.608825332351,4094.7494630250494,4202.521013499141,4028.093490255056,4298.3416546114095,4283.826662662784,4178.864827805888,4612.475032312269,4218.829264730413,4390.489409573036,4737.171311991852,4029.9249205058472,4396.498060509221,3983.3310397616738,4012.864034629085,4202.524020092738,4576.727032154246,4341.578776752237,3788.807085319448,4286.212837194541,4360.556159909622,4420.713546117065
3,4400.740159819143,4752.506692262662,4266.000924869439,4252.393138237682,3792.0448059384735,4323.798203618548,4098.749793907317,4262.281490696385,4146.531494432579,4147.780752782453,4047.2403118459965,3992.21952184147,4086.982695980527,4532.004424080975,4566.871004679791,4375.7113795963505,4614.6669006403445,4184.903282488878,4426.3881520533505,4641.84839212438,4240.514790926247,3761.2295801747273,4719.1305046006455,4357.551926207738,4725.964066759691,4393.565612065733,4582.051026532672,3881.539278137008,4382.1251858644,4191.683569931291,4837.322751846087,3539.599242464737,4589.828517412668,4643.752410171053,4084.180423474589,4250.8158802842245,4107.2955184593875,4603.490213105604,4470.20927556156,4167.535077916583,4238.215040437217,4691.453283523211,3677.7675956895396,4469.521396204545,4770.3893595474065,4601.433265733919,3819.8324580692088,4297.738177204161,4147.832389637586,4655.907415418941,4143.803455807577,4284.445090084479,4239.775765489262,4020.32103687258,4178.359779155959,4252.876452876635,4251.268181210109,4159.507373745747,4207.332536112295,4207.270215544464,4837.522103127165,4210.672195979424,4195.653961772751,3722.900636537282,4305.467537944742,4178.476947779511,4637.086491187908,4182.938430170202,3732.962804311717,4650.534165515302,4412.02018319703,4270.864612830114,4163.182134580579,4003.418214292286,4218.198850075248,4292.296981676682,4400.268279735807,4147.0349802415885,4016.3765614232416,4328.2546653581785,4254.488441970374,4519.3228481130245,4427.081172544119,4167.830636384479,4194.708030839307,3937.699276021176,4551.841193311878,4383.712676732448,3657.076656093004,3775.613736147196,4177.416088593012,4618.435969204566,4132.4776241794625,4239.3891221342465,4473.227945074259,4688.868487778498,4636.948371164963,4222.96189396739,4238.4598203610885,4530.1710957036685,4155.001716657021
4,4438.6506860636255,4472.434880688011,4660.871693725668,3927.107555033028,4730.652416062047,4060.1703480489064,4623.499775408848,4383.309392957793,4125.027617267532,4213.67721226262,4411.503854656115,4650.109132613604,5061.150070379652,3965.91544910212,4611.988325329767,4225.2064197122445,4689.965639157185,4317.297977909519,4501.647489736698,3709.045964311901,4407.8876211200895,4416.0964716818535,4242.814579975709,4227.717994237398,4315.452455357715,4566.048420071433,4296.794225113488,4860.562511274912,4318.254949636051,4488.836400529182,4169.219369995753,5098.944107625408,4094.351121403323,4243.385354995442,4516.144954082767,4808.265164523615,4047.442576240191,4322.250888130329,5148.420769629901,4664.1526943029385,4017.126013275883,5042.695880376455,5142.702322827195,4564.225574558775,3919.3405207142414,4227.741781639501,4095.0467794966335,4477.848887292436,4273.266327534931,4981.135461301879,4343.786562184205,4740.736603958314,4335.808806811706,4384.995098114524,3877.911433409356,4375.953052263412,4380.906315173505,4654.8925037313065,4407.765651721866,4534.779313879217,4828.686635324515,3857.315249339027,4420.378637106041,4113.932011215708,4538.72268836882,4447.7020396004855,4583.9667431089865,4634.885071551375,4221.85113293216,4348.906635148609,4191.251503710658,4208.872354492474,4432.925356039292,4059.1399492009255,4552.466162550177,4511.579936511664,4061.289234032541,4415.01117270124,4605.7682340103165,4059.252512499375,4061.144351295557,5081.533856065879,4244.745272753398,4047.289108544749,4331.67970116674,5437.366004232717,4362.16532328225,4483.996849873551,4127.122584540871,4921.595502350826,4690.408237173402,4338.846588487837,4475.0438225060425,4207.720690042258,3953.7093574411156,4377.202252218018,4341.163261428661,4976.827938234532,4059.8038787559362,4258.594776525504,4689.273881602113
5,4391.792820040153,4734.174818991588,4486.652927038788,4339.591626543656,4408.257393365556,4311.782318823327,4255.97802350242,4508.055941437486,4594.0280410002115,4374.869569067001,5072.817767148607,4569.553415959086,4236.26529952214,4933.93289389609,4636.155354080934,5319.058526397115,5330.368494352963,4969.753411341815,4799.885966397333,4906.938675021111,4345.782811443655,4111.669016968362,4704.224776430037,4867.235641924299,4539.953731074912,4975.863197521861,4487.762641984002,4511.90739731602,4370.084311896395,4144.758208168088,4021.216223422078,4468.5498544685715,4028.5384810221813,4630.655280463722,4466.921902939273,4226.812032264387,4411.264852799555,4074.2495451141344,4854.604513151394,4476.240267793408,4409.044758728866,4245.216035649693,3634.048184099283,4050.543400850834,4291.071577960855,4682.030454931273,4008.0539023484293,4422.1643208354335,4191.711477752344,4816.9101155724375,5100.006518204641,4425.834554374231,3883.645729886101,4610.7846434951125,4644.716857512084,4264.155394690038,4643.6546279369095,4228.042682336875,4322.108223299301,4491.528727702723,5004.326527329323,4360.672393848617,4294.332792908906,4405.443648621937,4648.20890206259,4815.478140729966,4220.3480365261385,4040.916625888929,4085.233644532621,4613.563885640661,4432.550300433994,3945.2972559474615,4377.25678750636,4434.354859390115,4509.254958221669,4287.461325926531,5071.259846931799,4929.833224775272,4673.378785839926,4730.756311831014,4388.549466915772,4041.215855884471,4566.185843144621,4351.2977011203,4742.356562169562,4131.233724808279,4410.358188329218,4641.21451751936,4591.965140092953,3605.8766430490773,4730.551030310213,4637.602893058707,4151.1548550031375,4233.939285935279,5001.693803806462,4033.7442726254185,4765.015521775992,4588.286157243958,4418.356417502871,4487.326763874995,4430.2842916719455
6,4366.908117754145,4128.089412925238,4129.904109789158,4272.872065813698,4799.993213563988,4826.554276194293,4524.328297217197,4652.109772086652,4762.172452402538,4740.123843712654,4196.253579521499,4390.969938836421,4293.58062712411,4251.116475215921,4340.330289233355,4552.401087214388,4343.468889621637,4230.494015232558,4861.53020344283,4015.696857661515,4598.893298181384,4409.051365492591,4122.877004021862,4177.363924881127,3909.949829037737,3989.230366320994,4701.114220445555,4135.567348800915,4269.426604541751,4814.793251147043,4617.7599786089,4703.3629265180325,4189.206670487214,4580.38144085774,5227.4424307915915,4360.531093489276,4432.0387256893255,3973.276211649519,4396.366827331233,4093.4771261537376,4426.502048990094,4145.562038756988,4499.427046940961,4337.134621460045,4128.597344294954,4088.784846799436,4271.4507189469705,3874.458604404551,4060.3072781146575,4409.595505996384,4739.048063571626,4722.844045213079,4088.007507129756,4499.315516517982,4450.472987155179,4192.266796149869,4013.621257594275,4116.892778373654,3957.548794701972,4636.599189943864,4349.002444798987,4291.004248273803,4125.9977370667275,4409.576912589636,4571.121549223718,4244.421323416695,4419.330575258095,4033.2342946055096,4217.875329409789,4461.637567442441,4348.254055939767,4602.031650068964,4496.4527673730845,3888.274691979104,3966.204259292033,4253.093337354444,4672.360447303953,4523.9053709938835,4375.576916160163,4588.933003639891,4175.265895087607,4222.081519408045,4010.818474625995,4832.980110594519,4655.724139230174,4348.5076606989505,4345.1785219200265,4505.641261583927,4148.938800005646,4403.256424808184,4151.0587616231205,4731.444958755625,4090.0471616372356,4605.878818494748,3974.393223665204,4044.847599255333,4806.960680950649,4727.79218426866,4408.026825157136,4710.815175254121,4470.127997443691
7,4376.278929081181,4436.070251160565,3939.442020918407,3998.5761634551177,4800.674152450692,3800.865441822925,4298.526736663167,4095.265155473582,4685.675532556139,3896.365521787397,4879.887206370401,4612.2470819477585,4222.6575191776,4824.618867196506,4032.4978999888303,4863.474881571358,4462.125099176111,4346.122731484789,4910.691019309566,4513.626089775499,4868.184204103832,4518.142494870811,4109.464255589698,4211.574867762796,3640.5607112830467,4248.002991913164,4025.940921928764,4400.526960375009,4110.123993777583,3994.0537488450896,4237.828548729212,4056.871877701764,5248.081224618625,4318.687136459837,4089.116666275848,4827.729861357108,4419.124216021543,4444.288041794719,3791.553836007424,4168.868115740042,3972.7773666884527,4330.4726001558665,4588.402034968648,4266.467811653194,4047.84106657634,4511.832287582015,4111.603808842051,4273.239544423771,3875.861090525003,4661.742598801837,4830.478626500882,4559.876595089664,4666.326449555272,4093.7325976532393,4374.036338868789,4412.138869199727,3844.977548307707,4628.945643770319,4414.829597400998,5039.098480147135,4759.182965940259,4461.129561006172,4473.805923165609,4443.9157805631185,4727.434630726787,4256.420439491789,3838.4501510141026,4111.884676461219,4321.2951274091165,3785.820983745231,4315.972763483589,4534.260897438817,4583.969150464519,4475.68869001742,4645.351462923206,4583.416310236107,4735.721964112165,4842.622367735783,4361.747162070143,4744.699752647006,4318.3029509073385,4484.8349544800585,3736.815182417718,4432.074389160067,4999.0535765450095,4827.582034780212,4370.386262912935,4135.758872037568,4853.279650888321,4085.4040599939385,3871.1317987341577,4639.24500120629,4597.913814336062,4550.366560609788,4818.9690031362925,4515.1654109317515,4300.76181097722,4400.737623383159,4414.663017115213,4637.559153894559,4744.81314780845
8,4502.765411350683,4532.843808694117,4322.2014719578,4346.877076285728,4862.842524515322,4773.606299136439,4910.259409701949,3889.3883463596526,3626.0686956953527,4605.183927659363,4248.199581615959,4003.8241444551295,4257.523677787302,3947.8310292304186,4234.358710542167,4417.014520588526,4812.124893242812,4247.765194797929,4083.7585139854536,4495.935311057546,4430.18003689693,4410.628862649097,4529.831114245333,4510.754783344099,4208.067414257392,3947.9308268078835,3949.361104262818,4367.02525718824,4706.688805157437,4604.81318002348,4372.129919203186,4437.122321547505,4958.235176294187,4642.65402258266,4494.059886926346,4555.767005139865,4389.95307686769,4481.937411117536,4156.701078707709,4389.368443924955,4563.308344707247,4101.544699876884,4387.064015352929,4449.490713071602,4488.954895827841,4691.058621068167,4300.705053452168,4547.795621070052,4524.377797586621,4422.4427342939,4532.221340960764,5090.586666535598,4505.922650933092,3803.1095098879614,4972.642930622986,4345.765953182955,4609.3855648564395,4973.677434104,4525.396476630952,4056.5480971393235,4077.814096425837,4658.581440697793,4510.57496245461,4063.6962391161296,4446.265396044331,3932.012863934555,4005.072861616809,3950.154624848673,4306.294117619089,4535.4060691917375,4828.852945791989,3584.45249598306,4401.500906193425,4561.6994120702675,4264.97763598399,4263.691229140222,4600.482447098822,4289.5949850580455,4642.26674963216,4377.518593422741,4552.1146933871005,4112.020420967113,4093.585924552813,4051.988094735213,4339.692347046464,4015.040420278084,5329.259880940924,4454.807715626609,4352.487697458125,4373.511338072764,4250.675878703249,4487.123236907202,4503.142136255477,4378.352545619573,4267.031393143563,4307.736702907028,4459.420498207593,4800.180523671456,4352.539364275681,4590.378420587782,5045.784298871235
9,4467.095841378092,5529.66803067281,4493.545301245976,4526.269239135329,4617.952519908518,4965.8029032589975,4338.00746949198,5026.4828406437155,4739.418411255129,4438.083311052818,4234.864450738016,4538.036696971477,4632.53933710657,4276.533631862321,3736.352518342159,4771.6084368909205,4748.799773534889,4572.881159494224,3634.5111200029028,4561.379238755685,4488.045068874887,4478.298838164621,4645.348930541884,4422.888605474585,4403.74080201587,4594.234135587596,4666.264676837484,4260.7986043672,4605.864470783836,4093.1283858406764,4573.1419834410635,4614.279370536766,3991.701499004654,4507.486795312603,4645.163277932091,4179.146248838203,4226.105869043547,4531.702740174575,4502.535344171418,4326.266710461838,4823.125532763507,4257.425736469407,4584.309722836616,4254.492073884756,4902.267564546268,4693.334305812079,4634.861828563155,4450.939769679557,5227.2479223179525,5151.532556662894,4304.186660035918,4456.976684534194,4980.76773157349,4952.798623887817,4625.638390103346,4613.376460495092,4710.130618468157,4740.107497158228,4965.246074727135,4737.083296764806,4367.938909928933,4198.7383804020565,4374.490068966361,4573.610931423932,4794.108718792334,4891.730342828348,3810.578431225595,4508.189455055563,4622.347523862503,4026.557789767717,4231.645595993202,4821.3363576439115,4840.16496465978,4649.462321122093,4478.912264061107,3889.271198429492,4325.390611153267,5035.87433486125,4453.521680162511,4201.159240757871,4770.841372842841,4586.610441098836,4397.8448931519615,5265.15899454679,4598.20454469064,4867.649767677088,4434.138415948676,4472.391577531805,4292.073770928748,4467.015074625356,4637.641721753045,4449.271157253249,5297.627387135536,4238.507463445504,5049.997359595449,4834.253324967906,4470.9872610889215,4795.893331600246,3835.0150507249077,4305.753383350512,4820.23812689932
