algo,data,filename,jsd,loss_type,mae,mape,mean_std,rmse,smape,std_ae,std_ape,sub_data,tuning_algo
GruGan,gg_trace,"la-[4, 1]_ac-tanh_dr-0.5_ou-tanh_ce-gru_co-after_la-[2, 1]_ac-tanh_dr-0.5_ou-sigmoid_ce-gru_in-[6, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-3_is-False_lo-loss_gan_re_d_.csv",0.185,loss_gan_re_d,0.303,0.351,0.18723681857851576,0.473,0.304,0.565,0.701,5,pso
GruGan,gg_trace,"la-[2, 1]_ac-tanh_dr-0.143_ou-tanh_ce-gru_co-after_la-[2, 1]_ac-tanh_dr-0.267_ou-sigmoid_ce-gru_in-[8, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-1_is-False_lo-loss_gan_re_d_.csv",0.2,loss_gan_re_d,0.302,0.356,0.1921932793532945,0.47,0.304,0.568,0.717,5,pso
GruGan,gg_trace,"la-[2, 1]_ac-tanh_dr-0.0_ou-tanh_ce-gru_co-after_la-[4, 1]_ac-tanh_dr-0.0_ou-sigmoid_ce-gru_in-[7, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-1_is-False_lo-loss_gan_re_d_.csv",0.184,loss_gan_re_d,0.303,0.351,0.26578880226740736,0.472,0.305,0.562,0.699,5,pso
GruGan,gg_trace,"la-[2, 1]_ac-tanh_dr-0.0_ou-tanh_ce-gru_co-after_la-[2, 1]_ac-tanh_dr-0.0_ou-sigmoid_ce-gru_in-[7, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-2_is-False_lo-loss_gan_re_d_.csv",0.193,loss_gan_re_d,0.299,0.346,0.21058069793428527,0.471,0.301,0.555,0.689,5,pso
GruGan,gg_trace,"la-[2, 1]_ac-tanh_dr-0.0_ou-tanh_ce-gru_co-after_la-[4, 1]_ac-tanh_dr-0.383_ou-sigmoid_ce-gru_in-[8, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-1_is-False_lo-loss_gan_re_d_.csv",0.164,loss_gan_re_d,0.296,0.327,0.15594168442697842,0.473,0.301,0.529,0.615,5,pso
GruGan,gg_trace,"la-[2, 1]_ac-tanh_dr-0.0_ou-tanh_ce-gru_co-after_la-[2, 1]_ac-tanh_dr-0.149_ou-sigmoid_ce-gru_in-[3, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-1_is-False_lo-loss_gan_re_d_.csv",0.142,loss_gan_re_d,0.301,0.327,0.22497911957638939,0.48,0.308,0.532,0.605,5,pso
GruGan,gg_trace,"la-[2, 1]_ac-tanh_dr-0.0_ou-tanh_ce-gru_co-after_la-[2, 1]_ac-tanh_dr-0.0_ou-sigmoid_ce-gru_in-[8, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-3_is-False_lo-loss_gan_re_d_.csv",0.188,loss_gan_re_d,0.298,0.34,0.269856897463547,0.471,0.302,0.546,0.665,5,pso
GruGan,gg_trace,"la-[2, 1]_ac-tanh_dr-0.5_ou-tanh_ce-gru_co-after_la-[2, 1]_ac-tanh_dr-0.334_ou-sigmoid_ce-gru_in-[7, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-2_is-False_lo-loss_gan_re_d_.csv",0.199,loss_gan_re_d,0.303,0.355,0.24797927784426635,0.472,0.305,0.567,0.716,5,pso
GruGan,gg_trace,"la-[8, 1]_ac-tanh_dr-0.067_ou-tanh_ce-gru_co-after_la-[8, 1]_ac-tanh_dr-0.413_ou-sigmoid_ce-gru_in-[3, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-1_is-False_lo-loss_gan_re_d_.csv",0.162,loss_gan_re_d,0.323,0.379,0.24697609495364145,0.495,0.317,0.617,0.774,5,pso
GruGan,gg_trace,"la-[2, 1]_ac-tanh_dr-0.5_ou-tanh_ce-gru_co-after_la-[2, 1]_ac-tanh_dr-0.105_ou-sigmoid_ce-gru_in-[6, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-2_is-False_lo-loss_gan_re_d_.csv",0.192,loss_gan_re_d,0.305,0.356,0.21525951266585627,0.472,0.306,0.568,0.714,5,pso
GruGan,gg_trace,"la-[2, 1]_ac-tanh_dr-0.31_ou-tanh_ce-gru_co-after_la-[2, 1]_ac-tanh_dr-0.5_ou-sigmoid_ce-gru_in-[7, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-1_is-False_lo-loss_gan_re_d_.csv",0.201,loss_gan_re_d,0.3,0.35,0.25280024411899576,0.472,0.302,0.56,0.701,5,pso
GruGan,gg_trace,"la-[4, 1]_ac-tanh_dr-0.171_ou-tanh_ce-gru_co-after_la-[2, 1]_ac-tanh_dr-0.027_ou-sigmoid_ce-gru_in-[1, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-3_is-False_lo-loss_gan_re_d_.csv",0.142,loss_gan_re_d,0.33,0.383,0.22382799443266913,0.51,0.322,0.633,0.781,5,pso
GruGan,gg_trace,"la-[16, 1]_ac-tanh_dr-0.199_ou-tanh_ce-gru_co-after_la-[2, 1]_ac-tanh_dr-0.04_ou-sigmoid_ce-gru_in-[3, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-2_is-False_lo-loss_gan_re_d_.csv",0.177,loss_gan_re_d,0.321,0.382,0.2081293045401588,0.49,0.316,0.615,0.788,5,pso
GruGan,gg_trace,"la-[4, 1]_ac-tanh_dr-0.0_ou-tanh_ce-gru_co-after_la-[2, 1]_ac-tanh_dr-0.376_ou-sigmoid_ce-gru_in-[2, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-2_is-False_lo-loss_gan_re_d_.csv",0.121,loss_gan_re_d,0.311,0.349,0.2259139716097979,0.487,0.313,0.568,0.673,5,pso
GruGan,gg_trace,"la-[2, 1]_ac-tanh_dr-0.0_ou-tanh_ce-gru_co-after_la-[2, 1]_ac-tanh_dr-0.099_ou-sigmoid_ce-gru_in-[7, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-1_is-False_lo-loss_gan_re_d_.csv",0.202,loss_gan_re_d,0.304,0.358,0.2309030955329526,0.472,0.305,0.571,0.724,5,pso
GruGan,gg_trace,"la-[2, 1]_ac-tanh_dr-0.001_ou-tanh_ce-gru_co-after_la-[2, 1]_ac-tanh_dr-0.023_ou-sigmoid_ce-gru_in-[6, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-1_is-False_lo-loss_gan_re_d_.csv",0.149,loss_gan_re_d,0.3,0.333,0.20749025051659578,0.477,0.305,0.541,0.632,5,pso
GruGan,gg_trace,"la-[2, 1]_ac-tanh_dr-0.5_ou-tanh_ce-gru_co-after_la-[2, 1]_ac-tanh_dr-0.206_ou-sigmoid_ce-gru_in-[4, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-2_is-False_lo-loss_gan_re_d_.csv",0.14,loss_gan_re_d,0.305,0.342,0.18090071876114505,0.48,0.308,0.555,0.659,5,pso
GruGan,gg_trace,"la-[2, 1]_ac-tanh_dr-0.0_ou-tanh_ce-gru_co-after_la-[2, 1]_ac-tanh_dr-0.0_ou-sigmoid_ce-gru_in-[6, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-1_is-False_lo-loss_gan_re_d_.csv",0.189,loss_gan_re_d,0.307,0.362,0.21503700170591877,0.474,0.307,0.578,0.734,5,pso
GruGan,gg_trace,"la-[2, 1]_ac-tanh_dr-0.0_ou-tanh_ce-gru_co-after_la-[2, 1]_ac-tanh_dr-0.393_ou-sigmoid_ce-gru_in-[7, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-1_is-False_lo-loss_gan_re_d_.csv",0.211,loss_gan_re_d,0.31,0.371,0.2812288851297469,0.476,0.31,0.588,0.76,5,pso
GruGan,gg_trace,"la-[2, 1]_ac-tanh_dr-0.376_ou-tanh_ce-gru_co-after_la-[2, 1]_ac-tanh_dr-0.287_ou-sigmoid_ce-gru_in-[6, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-1_is-False_lo-loss_gan_re_d_.csv",0.224,loss_gan_re_d,0.315,0.382,0.27314222636472274,0.48,0.313,0.607,0.794,5,pso
